popularity,acousticness,danceability,instrumentalness,speechiness,liveness,energy,loudness,valence,duration_ms,tempo,key,mode
58,0.131,0.555,0,0.0472,0.0922,0.895,-4.787,0.38,210173,138.076,5,1
58,0.472,0.77,0,0.358,0.107,0.449,-8.783,0.452,179148,130.092,0,1
58,0.682,0.776,0,0.272,0.205,0.467,-10.094,0.563,159243,97.486,8,0
58,0.0998,0.86,0.056,0.0665,0.264,0.553,-9.096,0.131,96095,106.985,2,1
58,0.129,0.706,0,0.424,0.0952,0.783,-5.337,0.513,205861,130.195,2,1
58,0.0766,0.939,0,0.289,0.111,0.62,-9.105,0.605,188160,129.962,7,1
58,0.0675,0.762,3.95E-06,0.0959,0.114,0.52,-5.237,0.0862,199520,75.047,5,0
58,0.00509,0.454,0.0453,0.0447,0.185,0.761,-7.57,0.308,265096,191.898,2,1
58,0.72,0.523,0,0.225,0.0774,0.507,-6.448,0.7,170343,140.368,7,0
58,0.0259,0.671,0,0.0351,0.116,0.597,-7.011,0.422,186600,100.039,8,1
58,0.266,0.623,7.20E-06,0.0352,0.0931,0.631,-7.52,0.273,256147,121.973,10,1
58,0.466,0.754,0.00179,0.0378,0.1,0.405,-11.547,0.0843,213973,114.938,7,1
58,0.408,0.483,2.42E-06,0.0445,0.336,0.592,-6.962,0.206,233600,131.022,4,1
58,0.141,0.699,0,0.239,0.272,0.873,-3.096,0.658,190253,99.938,1,1
58,0.165,0.923,0,0.316,0.109,0.686,-7.15,0.557,110858,140.06,2,1
58,0.0399,0.523,0,0.0459,0.168,0.774,-5.982,0.46,187996,99.971,7,1
58,0.264,0.921,0,0.406,0.119,0.586,-7.77,0.657,210000,96.042,8,1
58,0.805,0.514,0,0.0941,0.211,0.319,-8.978,0.677,235107,203.651,3,1
58,0.368,0.866,0,0.336,0.0742,0.602,-9.732,0.793,248000,117.979,5,0
58,0.0553,0.834,0,0.305,0.074,0.591,-7.543,0.9,256613,104.944,10,0
58,0.11,0.669,1.58E-05,0.0269,0.0826,0.653,-5.675,0.528,240427,104.995,11,1
58,0.259,0.525,9.19E-06,0.379,0.877,0.558,-9.132,0.383,252265,144.744,9,1
58,0.151,0.476,0.0633,0.0287,0.0982,0.543,-5.158,0.342,191307,163.942,0,1
58,0.00527,0.541,0,0.122,0.0867,0.87,-4.741,0.665,171440,179.975,1,1
58,0.192,0.574,0,0.0396,0.185,0.688,-6.027,0.461,176703,90.071,11,1
58,0.261,0.597,0.0747,0.0271,0.0973,0.864,-5.629,0.55,222672,130.079,5,1
58,0.426,0.639,0,0.0447,0.151,0.479,-6.192,0.571,209080,146.084,1,1
58,0.0302,0.623,0,0.144,0.25,0.568,-5.664,0.115,242050,149.852,9,1
58,0.000351,0.519,0,0.0738,0.361,0.821,-3.171,0.284,226187,140.971,1,1
58,6.74E-05,0.74,0.116,0.0454,0.0426,0.802,-10.955,0.465,214219,128.011,1,1
58,0.367,0.594,0,0.0423,0.0948,0.815,-3.47,0.339,236522,137.933,8,1
58,0.363,0.544,2.14E-05,0.0574,0.157,0.551,-7.112,0.289,264320,77.654,5,1
58,0.225,0.648,0.00132,0.0821,0.0682,0.732,-5.194,0.324,95587,159.88,5,1
58,0.0244,0.605,3.72E-05,0.0753,0.309,0.71,-4.75,0.691,219000,110.171,11,1
58,0.144,0.725,0,0.219,0.465,0.727,-7.055,0.765,211429,168.103,2,1
